Source,Mean-X,Mean-Y,Mean-Z,Mean-Mag,Variance-X,Variance-Y,Variance-Z,Variance-Mag,Skewness-X,Skewness-Y,Skewness-Z,Skewness-Mag,Kurtosis-X,Kurtosis-Y,Kurtosis-Z,Kurtosis-Mag,RMS-X,RMS-Y,RMS-Z,RMS-Mag,Label
oa_OA10_06-03-2016_14_37_18_select-bread,0.0677292094265058468505798813,0.0722315089510463486287362427,0.0988803417659981211902564934,0.139935551889594,0.025250279342272,0.0287735654953247,0.0537849012996746,0.0660174998465729,0.0000352713991619274,0.0000523774390431756,0.000340478730338252,0.000346284902258689,0.00000206559054876628,0.00000351471529053388,0.0000423930646790879,0.0000425886348780281,0.172735419505704,0.184366364558912,0.252115495928821,0.356918344751172,1
oa_OA10_06-03-2016_14_37_18_move-bread-into-toaster,0.4665321180047353913673768058,0.5301215037239082581868645867,0.635237630472902142780276593,0.949846236508473,0.00192727018667354,0.00269619954740653,0.00230562966103434,0.00403729990287038,0.0000000122433360016565,0.0000000370977586817445,0.0000000284911313543074,0.0000000483517067072798,0.000000000044378769693083,0.000000000212871185412057,0.000000000205160249788482,0.000000000298955422883544,0.46859309354349,0.532658434888536,0.637049822878762,0.953486744745004,0
oa_OA10_06-03-2016_14_37_18_turn-toaster-on,0.4421172907906585565938530644,0.4979619278110098018537261566,0.6211140247759250641844981192,0.910613206657293,0.00101795896062639,0.000656307623054305,0.0002031980104862,0.00122811627017327,0.00000000144705880704064,0.000000000463828850668145,0.0000000000121455598259807,0.00000000151962623969498,0.00000000000207572581096315,0.0,0.0,0.00000000000207572581096315,0.443267027621837,0.498620486113749,0.621277578690745,0.91164350309364,0
oa_OA10_06-03-2016_14_37_18_select-spoon-for-coffee,0.4670633941373441284069179873,0.5117458695683488262040687052,0.6265019049641174101576594293,0.934096722019208,0.00842600410230431,0.00937276711375709,0.00538551633433481,0.0137058416264074,0.00000105652223272505,0.00000147186362355607,0.000000314268320860191,0.00000183885462505501,0.0000000171114121614553,0.0000000284109585013679,0.00000000407374489228925,0.0000000334152418302352,0.475998128405354,0.520823004612913,0.630785346419844,0.946425366121082,1
oa_OA10_06-03-2016_14_37_18_select-coffee,0.392604235940624034057989817,0.4543977859477994159409959053,0.5569929538340987494599528667,0.819058352361794,0.00169961410528336,0.00292046833138704,0.0036760947169252,0.00499314487565884,0.00000000711124027850808,0.00000003746076630548,0.000000076576696891929,0.000000085544545456568,0.0000000000159522292415695,0.000000000153665331186422,0.000000000411395581145812,0.000000000439447188877923,0.394762840429294,0.457600061413511,0.560283183165227,0.824107251349734,1
oa_OA10_06-03-2016_14_37_18_open-coffee,0.4753222170898160590646557874,0.5024305724520506918135935244,0.6399962532612596468486413121,0.942317830873493,0.00038593822199626,0.00229626909080199,0.00298968671333554,0.00378946258623374,0.0000000000937870551370002,0.0000000171580877081486,0.0000000363490402492747,0.0000000401952919737576,0.0,0.0000000000561712269463377,0.000000000151006272651889,0.000000000161115179659999,0.47572801923071,0.504710559851186,0.642327713010879,0.94532258431091,0
oa_OA10_06-03-2016_14_37_18_scoop-coffee,0.4546223832789577051792932224,0.5175824306629290466075064254,0.6280708081991616286452448321,0.93222638024309,0.000951903766456938,0.00101865674421092,0.00109474336064242,0.0017726379689017,0.00000000176649197039572,0.00000000180925742279299,0.00000000237654877958242,0.00000000347014270673971,0.0,0.00000000000387838400649325,0.00000000000581728924211828,0.00000000000699161759740103,0.455668097571792,0.51856554964166,0.628941717071296,0.933869010028946,0
oa_OA10_06-03-2016_14_37_18_stir-mug-1,0.4585121510311195350659527395,0.5014040112380299069838943919,0.6188244050152602043490951202,0.91901197999333,0.000787815596892628,0.00153677434081439,0.00160720724117418,0.00235911930715161,0.000000000865128304305772,0.00000000617863002665221,0.000000006542843146952,0.0000000090406146049246,0.0,0.0000000000188316626934268,0.0000000000184717409577197,0.0000000000263787174405448,0.459370447721746,0.502934147604238,0.62012164248933,0.921148639770012,0
oa_OA10_06-03-2016_14_37_18_end-stir-1,0.4412315187348121443729427985,0.5551817018457648894219092768,0.6451083585494830948745121399,0.958684916674815,0.0113247936707522,0.00402530198395626,0.00567903248257674,0.013293059004056,0.00000247221147813455,0.000000106087949636643,0.00000030601000454661,0.00000249333639298049,0.0000000504586697860026,0.000000000734873806662899,0.00000000306233246759427,0.0000000505568519216402,0.453883296449408,0.558795153923436,0.649495055218271,0.969590582461011,0
oa_OA10_06-03-2016_14_37_18_select-cream,0.4553976885011628030480800987,0.4996804983898584278430864686,0.6234347122849250022742047928,0.919640416491754,0.000321246952625776,0.0022154227481733,0.000786131116176373,0.0023726145261116,0.0000000000592846627539528,0.0000000204808511370462,0.00000000088835263411347,0.0000000205001938618058,0.0,0.0000000000982316606095075,0.0,0.0000000000982316606095075,0.45575026236397,0.50189244188303,0.624064877715421,0.921445221628558,1
oa_OA10_06-03-2016_14_37_18_pour-cream-into-coffee,0.4656832726163574744123067374,0.5177073295629544248476685633,0.6280569212116509458553548384,0.937729857560131,0.00241539031398191,0.00287172200098962,0.00161736965758471,0.00408616962804056,0.0000000327055179086861,0.0000000475122185321004,0.00000000716032023544816,0.0000000581234203862059,0.000000000204142721562765,0.00000000031863982363312,0.0000000000215761361074659,0.00000000037903973092715,0.468269474457457,0.520473439364772,0.629343202028466,0.941404146863769,0
oa_OA10_06-03-2016_14_37_18_select-sugar,0.4542632136491793815032750625,0.5056316718755488487860642222,0.6268133723048695630055255451,0.924615303019989,0.00133228747476689,0.000749020298067484,0.00189380484855871,0.00243362242896517,0.00000000390186831713732,0.000000000769389230185996,0.0000000115764093508459,0.0000000122404979314634,0.00000000000964410556458851,0.0,0.0000000000395130089075361,0.0000000000406729227504977,0.455727281111902,0.506371807964988,0.628322217137642,0.926762413566789,1
oa_OA10_06-03-2016_14_37_18_open-sugar,0.4343298640543614883992783098,0.5113796062147812186432911648,0.6246586371304043947690139103,0.916706029980974,0.0091065093740976,0.00177388777330788,0.00147363172375145,0.00939397579675748,0.00000111901094920044,0.00000000785995397687334,0.0000000051774335320237,0.00000111905053019288,0.000000015692354411909,0.0000000000200546796719541,0.0000000000133910918554635,0.0000000156923729403962,0.444689712252912,0.51311108877678,0.625837075176412,0.923419717287126,0
oa_OA10_06-03-2016_14_37_18_select-spoon-for-sugar,0.4573246984163475817794892203,0.5111648419850102060226854969,0.6240800032874413815396053797,0.927313984563166,0.0238611553353413,0.0177981249264585,0.00193740347093353,0.0298308819354087,0.0000276438149095196,0.0000105105681962339,0.0000000132984738123746,0.0000295745282871742,0.0000015149260030742,0.000000398257579823322,0.0000000000511414439471114,0.00000156640029918682,0.48270802263578,0.528287441274179,0.625630285371629,0.950530330762333,1
oa_OA10_06-03-2016_14_37_18_scoop-sugar,0.4585464368161223271372035369,0.5094025354398890104648375515,0.6256996496552992363323503736,0.928038700382756,0.00103127880585304,0.00365372035054479,0.00142151233752723,0.00405387539289615,0.00000000181526959771255,0.000000228513597776949,0.00000000487747263551324,0.000000228572853401247,0.00000000000353284190054382,0.00000000610685910429642,0.0000000000130041117531015,0.00000000610687397181426,0.459669569933246,0.512976279630094,0.626834558648684,0.931322898302215,0
oa_OA10_06-03-2016_14_37_18_stir-mug-2,0.4512893804184591548216220091,0.50986330395783895887133678,0.6211900692050576881717313673,0.921683131927814,0.000530237521483969,0.00147849805244337,0.000852053910654036,0.00178692590415191,0.000000000246450319863912,0.00000000659149320442727,0.00000000119092493844128,0.00000000670274739440278,0.0,0.0000000000241695211490216,0.0,0.0000000000241695211490216,0.451876468075027,0.511311144779035,0.621875514865828,0.923233765178054,0
