Source,Mean-X,Mean-Y,Mean-Z,Mean-Mag,Variance-X,Variance-Y,Variance-Z,Variance-Mag,Skewness-X,Skewness-Y,Skewness-Z,Skewness-Mag,Kurtosis-X,Kurtosis-Y,Kurtosis-Z,Kurtosis-Mag,RMS-X,RMS-Y,RMS-Z,RMS-Mag,Label
ya_YA11_02-08-2016_14:41:43 copy_72,0.1111812585548114479051679959,0.1313712588320327975703281533,0.1314529344049686853021640962,0.216563048243743,0.0339937006791705,0.0474608576539462,0.0475207901525106,0.0752750303343156,0.0000572141369993961,0.000155709061409657,0.000156305927848315,0.000227926111619938,0.000003019385328433,0.0000114726750892823,0.0000115319991407639,0.0000165446657762668,0.215302050461677,0.2543998138778,0.254559745671203,0.419374417853843,0
ya_YA11_02-08-2016_14:41:43 copy_94,0.314738891852120262269319233,0.3726373584729570676197677677,0.3722458961681553179814330276,0.613584695203553,0.0320505272647805,0.0449255927837848,0.0448323441823762,0.0711019287348236,0.0000511023355902913,0.000140741177994422,0.000139865459752956,0.000204894789387007,0.00000272528373095871,0.0000105211266054463,0.0000104337415791812,0.0000150659961437401,0.362092663981309,0.428700587489087,0.428251504838464,0.705899881299734,0
ya_YA11_02-08-2016_14:41:43 copy_116,0.3796083111074891361652525362,0.5083014911532415461946817047,0.4913772610226824397357552783,0.802449056589041,0.00339294582609369,0.000868081388692491,0.000718445489290149,0.00357516581395636,0.0000000627242128453962,0.00000000121241029874257,0.00000000114343064933863,0.0000000627463484950074,0.000000000399324219865396,0.0,0.0,0.000000000399324219865396,0.384051319081154,0.509154679147016,0.492107770858624,0.805545753588658,0
ya_YA11_02-08-2016_14:41:43 copy_138,0.4136909943522299478934496322,0.5159551022458661093407648889,0.4941632012683691023035945708,0.825558705259342,0.0252536543490461,0.00445104006568057,0.0166576154795062,0.0305783415035949,0.0000367613269276389,0.000000221222193030853,0.0000109769935829866,0.000038365850503545,0.00000234195764974493,0.00000000274479364616441,0.000000445009555664903,0.00000238386381148841,0.44316350612069,0.520250619989273,0.510739547095492,0.853176116475206,0
ya_YA11_02-08-2016_14:41:43 copy_160,0.4138136968285179037734165272,0.5374383406645731567315756037,0.4846282105460578210479499155,0.833634361189754,0.0290596145663937,0.00610633960320198,0.0177074156452055,0.0345731275838484,0.0000494521467371261,0.000000469363387727734,0.0000125806381850909,0.0000510294775207836,0.00000324398250188589,0.00000000673399648096981,0.000000534545041132472,0.00000328773572846872,0.447550433190806,0.543089596309386,0.502565337147599,0.864765643380361,0
ya_YA11_02-08-2016_14:41:43 copy_182,0.3903181760996502809713440645,0.5411397768590622309703566614,0.4592358576950543870720258256,0.809986487347626,0.00957299780331774,0.00305753103105545,0.0069483960750791,0.0122176507956468,0.00000185847617199904,0.000000050845069584352,0.00000144552829541471,0.00000235500975705703,0.000000042863156362684,0.000000000331541834230966,0.0000000521557987159501,0.0000000675099061846367,0.402394428884242,0.543957525115823,0.466739723044859,0.821983597521993,0
ya_YA11_02-08-2016_14:41:43 copy_204,0.4216471639708658247248779267,0.498818345167263940235315628,0.4763334018319923500362204424,0.808393210053697,0.000869871420377295,0.000958877955885295,0.00552787234247849,0.00567745505107796,0.00000000139020752913424,0.00000000189994625881333,0.00000105198886733066,0.00000105199150161035,0.0,0.0,0.0000000374210041322817,0.0000000374210041322817,0.422677421096812,0.499778570400225,0.482101008133479,0.812930626670973,0
ya_YA11_02-08-2016_14:41:43 copy_248,0.4249037570582394223208083542,0.4829259952176775589239568762,0.5044743239430248347869818843,0.817468692450643,0.00432377704850888,0.00151615528677448,0.00112196404933703,0.00471726384112985,0.000000173222944136215,0.00000000654529446269317,0.00000000231267147308834,0.000000173361984599173,0.00000000164520957184538,0.0000000000213081830409035,0.00000000000448825133061458,0.00000000164535367576584,0.429961602716703,0.48449321165911,0.505585114067957,0.821715863009583,0
ya_YA11_02-08-2016_14:41:43 copy_270,0.4440569511519441093181142828,0.4439684057594203650962215788,0.5165883327759910242720799191,0.813116244296718,0.0136544318299654,0.00563690158085615,0.00150941278937018,0.0148491243849644,0.00000353988162959113,0.000000304989852082163,0.00000000567077403208151,0.00000355300055151529,0.0000000688373633325703,0.00000000332273112993015,0.0000000000149303027367355,0.0000000689175112410194,0.459174267241018,0.450271969917535,0.518047216332303,0.825807951608236,0
ya_YA11_02-08-2016_14:41:43 copy_292,0.4303456720116859552621267631,0.4603357566383744412133474963,0.5017876600513624331149150098,0.805541595474024,0.0116034444113788,0.00627120349122918,0.00122120931246358,0.0132461038657113,0.00000253137535025861,0.000000451184146657238,0.0000000027521174393519,0.00000257127125606034,0.000000049738190088395,0.0000000058259199472864,0.00000000000544419495140653,0.0000000500782280651059,0.443622409071688,0.467097647533205,0.503003046802189,0.817308460285288,0
ya_YA11_02-08-2016_14:41:43 copy_314,0.4099500607869074847229212212,0.4889907591014496944398607806,0.4941098800102849798231055034,0.807041255667626,0.00124305350223032,0.00145659879547786,0.00038682882324576,0.00195358608688952,0.00000000386278067244259,0.00000000467060985378809,0.0000000000771636406445206,0.00000000606148704173621,0.0000000000104186213408674,0.0000000000108293650393306,0.0,0.0000000000150274022305738,0.411463371202613,0.49047789071689,0.494501165162453,0.808951215754406,0
ya_YA11_02-08-2016_14:41:43 copy_336,0.4456787940315319855330075063,0.4968030340462277617215579301,0.4824806395302237424460129782,0.82354745437554,0.00592147492374826,0.00374296391630757,0.000744947937778265,0.00704475631809646,0.000000377598207691895,0.0000000796131849192675,0.000000000667518609280072,0.000000385900390316225,0.00000000425036056308274,0.000000000478268511303965,0.0,0.00000000427718431741186,0.452273216510937,0.500555909518452,0.483252020646859,0.829843236030918,0
ya_YA11_02-08-2016_14:41:43 copy_358,0.4259628377217595839217036557,0.5201056221675320639729274801,0.4905381287490043624626468172,0.832215028154878,0.00822972665008946,0.00309291614493342,0.00149494776893537,0.00891792575920137,0.000000912324804663936,0.0000000555546810371993,0.00000000547458588955483,0.000000914031095138943,0.0000000127690508373386,0.000000000356109330196534,0.0000000000145672641303317,0.0000000127740238510336,0.435515861674479,0.523070525221226,0.492059552824158,0.839880612736586,0
ya_YA11_02-08-2016_14:41:43 copy_380,0.4013046356996147401253366135,0.5152110043920659940670030885,0.4959111673740120339920707849,0.820009558241206,0.00255030329712116,0.00122665773781899,0.00140565734314422,0.00315984314158053,0.0000000300758298730348,0.00000000349078304176378,0.00000000457395245114015,0.0000000306212695658049,0.000000000148008836928768,0.00000000000955668911081124,0.0000000000112252109354122,0.000000000148741223190855,0.404469669976776,0.516400074345948,0.497326395106272,0.823163588835793,0
ya_YA11_02-08-2016_14:41:43 copy_402,0.4013898914457752303283522254,0.5063829510616452249256763786,0.4819913477503761772567570164,0.806134726573031,0.00241214576750039,0.00272292663465347,0.00068655371712846,0.00370190932734423,0.0000000235124842340754,0.0000000496745834679786,0.00000000050163924929464,0.000000054960465786884,0.000000000100941718807283,0.00000000039398155990788,0.0,0.000000000406707142970486,0.404383469892566,0.509064455408698,0.482703027775207,0.809737502840432,0
ya_YA11_02-08-2016_14:41:43 copy_424,0.3873577411645726691865612997,0.498128052467966544985393897,0.4907128885526875766193818082,0.79936019120755,0.00187165474988689,0.00278257475834855,0.000838783291228998,0.00345678625289699,0.0000000112225374681099,0.0000000558448022199126,0.00000000107204791859343,0.0000000569713662197428,0.0000000000409478984435643,0.00000000047724347289964,0.0,0.000000000478996934032206,0.389766179125392,0.500913297301916,0.491566803479396,0.802788719456642,0
ya_YA11_02-08-2016_14:41:43 copy_446,0.409735935886955528619541084,0.490621357074239817134826318,0.490039556088155220882828089,0.805438774647462,0.00162911258080933,0.0011777012705346,0.00105397617307367,0.00226976956032481,0.00000000977906294318978,0.0000000028609636592576,0.00000000202391231909,0.0000000103880414988497,0.000000000041912482163673,0.00000000000678490208146152,0.00000000000412782351942117,0.0000000000426582932661718,0.411719139387482,0.491820106632398,0.491113777758423,0.807831919231978,0
ya_YA11_02-08-2016_14:41:43 copy_468,0.4061462812885353833019060714,0.5029142919664245069285862282,0.4801946781230391537731227102,0.805272944886568,0.00144248691791907,0.00121230670243312,0.000686419171999826,0.00200539954343788,0.00000000512795058443546,0.0000000032173149531475,0.00000000054634163487026,0.00000000607827951694813,0.0000000000131246884558028,0.00000000000754796426914137,0.0,0.0000000000151403174230304,0.40791823779089,0.504118132749183,0.480908877095952,0.8073448634621,0
