Random Forest Predictions
Source,Prediction
ya_YA11_02-08-2016_14:32:03_3417,0
ya_YA11_02-08-2016_14:32:03_3439,0
ya_YA11_02-08-2016_14:32:03_3461,0
ya_YA11_02-08-2016_14:32:03_3483,0
ya_YA11_02-08-2016_14:32:03_3659,0
ya_YA11_02-08-2016_14:32:03_3681,0
ya_YA11_02-08-2016_14:32:03_4055,0
ya_YA11_02-08-2016_14:32:03_4077,0
ya_YA11_02-08-2016_14:32:03_4099,0
ya_YA11_02-08-2016_14:32:03_4121,0
ya_YA11_02-08-2016_14:32:03_4143,1
ya_YA11_02-08-2016_14:32:03_4165,1
ya_YA11_02-08-2016_14:32:03_4187,1
ya_YA11_02-08-2016_14:32:03_4209,0
ya_YA11_02-08-2016_14:32:03_4231,0
ya_YA11_02-08-2016_14:32:03_4253,0
ya_YA11_02-08-2016_14:32:03_4275,0
ya_YA11_02-08-2016_14:32:03_4297,0
ya_YA11_02-08-2016_14:32:03_4319,0
ya_YA11_02-08-2016_14:32:03_4341,0
ya_YA11_02-08-2016_14:32:03_4363,0
ya_YA11_02-08-2016_14:32:03_4385,0
ya_YA11_02-08-2016_14:32:03_4407,0
ya_YA11_02-08-2016_14:32:03_4429,0
ya_YA11_02-08-2016_14:32:03_4451,0
ya_YA11_02-08-2016_14:32:03_4473,0
ya_YA11_02-08-2016_14:32:03_4495,0
ya_YA11_02-08-2016_14:32:03_4517,0
ya_YA11_02-08-2016_14:32:03_4539,0
ya_YA11_02-08-2016_14:32:03_4561,0
ya_YA11_02-08-2016_14:32:03_4583,1
ya_YA11_02-08-2016_14:32:03_4605,1
ya_YA11_02-08-2016_14:32:03_4627,1
ya_YA11_02-08-2016_14:32:03_4649,1
ya_YA11_02-08-2016_14:32:03_4671,0
ya_YA11_02-08-2016_14:32:03_4693,0
ya_YA11_02-08-2016_14:32:03_4715,1
ya_YA11_02-08-2016_14:32:03_4737,1
ya_YA11_02-08-2016_14:32:03_4759,0
ya_YA11_02-08-2016_14:32:03_4781,0
ya_YA11_02-08-2016_14:32:03_4825,0
ya_YA11_02-08-2016_14:32:03_4847,1
ya_YA11_02-08-2016_14:32:03_4869,0
ya_YA11_02-08-2016_14:32:03_4891,0
ya_YA11_02-08-2016_14:32:03_4913,0
ya_YA11_02-08-2016_14:32:03_4935,0
ya_YA11_02-08-2016_14:32:03_4957,0
ya_YA11_02-08-2016_14:32:03_4979,0
ya_YA11_02-08-2016_14:32:03_5001,0
ya_YA11_02-08-2016_14:32:03_5023,0
ya_YA11_02-08-2016_14:32:03_5045,0
ya_YA11_02-08-2016_14:32:03_5067,0
ya_YA11_02-08-2016_14:32:03_5089,0
ya_YA11_02-08-2016_14:32:03_5111,0
ya_YA11_02-08-2016_14:32:03_5133,0
ya_YA11_02-08-2016_14:32:03_5155,0
ya_YA11_02-08-2016_14:32:03_5177,1
ya_YA11_02-08-2016_14:32:03_5199,1
ya_YA11_02-08-2016_14:32:03_5221,1
ya_YA11_02-08-2016_14:32:03_5243,0
ya_YA11_02-08-2016_14:32:03_5265,0
ya_YA11_02-08-2016_14:32:03_5287,0
ya_YA11_02-08-2016_14:32:03_5509,0
ya_YA11_02-08-2016_14:32:03_5531,0
ya_YA11_02-08-2016_14:32:03_5553,0
ya_YA11_02-08-2016_14:32:03_5575,1
ya_YA11_02-08-2016_14:32:03_5597,1
ya_YA11_02-08-2016_14:32:03_5619,1
ya_YA11_02-08-2016_14:32:03_5641,0
ya_YA11_02-08-2016_14:32:03_5663,0
ya_YA11_02-08-2016_14:32:03_5685,0
ya_YA11_02-08-2016_14:32:03_5707,0
ya_YA11_02-08-2016_14:32:03_5729,0
ya_YA11_02-08-2016_14:32:03_5751,0
ya_YA11_02-08-2016_14:32:03_5839,0
ya_YA11_02-08-2016_14:32:03_5861,1
ya_YA11_02-08-2016_14:32:03_5883,0
ya_YA11_02-08-2016_14:32:03_5905,0
ya_YA11_02-08-2016_14:32:03_5927,0
ya_YA11_02-08-2016_14:32:03_5949,0
ya_YA11_02-08-2016_14:32:03_5971,0
ya_YA11_02-08-2016_14:32:03_5993,0
ya_YA11_02-08-2016_14:32:03_6015,0
ya_YA11_02-08-2016_14:32:03_6103,0
ya_YA11_02-08-2016_14:32:03_6125,0
ya_YA11_02-08-2016_14:32:03_6147,0
ya_YA11_02-08-2016_14:32:03_6169,0
ya_YA11_02-08-2016_14:32:03_6191,0
ya_YA11_02-08-2016_14:32:03_6213,1
ya_YA11_02-08-2016_14:32:03_6235,0
ya_YA11_02-08-2016_14:32:03_6257,0
ya_YA11_02-08-2016_14:32:03_6279,0
ya_YA11_02-08-2016_14:32:03_6301,0
ya_YA11_02-08-2016_14:32:03_6323,0
ya_YA11_02-08-2016_14:32:03_6345,0
ya_YA11_02-08-2016_14:32:03_6367,0
ya_YA11_02-08-2016_14:32:03_6389,0
ya_YA11_02-08-2016_14:32:03_6411,0
ya_YA11_02-08-2016_14:32:03_6433,0
ya_YA12_02-10-2016_14:25:05_279,1
ya_YA12_02-10-2016_14:25:05_301,1
ya_YA12_02-10-2016_14:25:05_369,1
ya_YA12_02-10-2016_14:25:05_391,1
ya_YA12_02-10-2016_14:25:05_415,1
ya_YA12_02-10-2016_14:25:05_437,0
ya_YA12_02-10-2016_14:25:05_459,1
ya_YA12_02-10-2016_14:25:05_481,1
